"parameter","outer_width","inner_width","point_est","ll","l","m","h","hh","time","rhat"
"gamma[1]",0.95,0.5,"mean",2.81166625,2.97184,3.06170810875,3.14911,3.3269465,14,1.02471133996724
"gamma[2]",0.95,0.5,"mean",0.82748625,0.92654575,0.979161134125,1.0307525,1.134443,14,1.02471133996724
"gamma[3]",0.95,0.5,"mean",0.160040775,0.18124325,0.191766746125,0.202562,0.22217415,14,1.02471133996724
"gamma[4]",0.95,0.5,"mean",0.23056975,0.25264175,0.264466484375,0.276212,0.298217,14,1.02471133996724
"gamma[5]",0.95,0.5,"mean",0.00826514825,0.033833225,0.0471545412989875,0.06044,0.086268975,14,1.02471133996724
"gamma[6]",0.95,0.5,"mean",0.2954958,0.31694625,0.328961561,0.3405575,0.362460725,14,1.02471133996724
"gamma[7]",0.95,0.5,"mean",-1.70669075,-1.6155,-1.56399528875,-1.51455,-1.412785,14,1.02471133996724
"gamma[8]",0.95,0.5,"mean",-1.43039625,-1.3362325,-1.284984354,-1.2356475,-1.1356595,14,1.02471133996724
