"parameter","outer_width","inner_width","point_est","ll","l","m","h","hh","time","rhat"
"gamma[1]",0.95,0.5,"mean",2.86792825,3.0216475,3.10333372375,3.18286,3.34320375,13,1.00057909049513
"gamma[2]",0.95,0.5,"mean",0.9394165,1.03701,1.08540223325,1.13437,1.230139,13,1.00057909049513
"gamma[3]",0.95,0.5,"mean",0.168621,0.19118425,0.203143844875,0.21506925,0.236545975,13,1.00057909049513
"gamma[4]",0.95,0.5,"mean",0.198363025,0.22106875,0.233363329,0.2456355,0.269141575,13,1.00057909049513
"gamma[5]",0.95,0.5,"mean",0.03090933,0.0519916,0.063242283163,0.074547925,0.0960604,13,1.00057909049513
"gamma[6]",0.95,0.5,"mean",0.293328825,0.31244175,0.322710068625,0.3328775,0.3527471,13,1.00057909049513
"gamma[7]",0.95,0.5,"mean",-1.66866175,-1.584605,-1.54390311375,-1.5016975,-1.42358425,13,1.00057909049513
"gamma[8]",0.95,0.5,"mean",-1.54438125,-1.4537475,-1.4051687575,-1.35704,-1.2609595,13,1.00057909049513
