"parameter","outer_width","inner_width","point_est","ll","l","m","h","hh","time","rhat"
"gamma[1]",0.95,0.5,"mean",2.76486975,2.9031325,2.980887135,3.05595,3.2061345,14,1.02251996113867
"gamma[2]",0.95,0.5,"mean",0.853970375,0.9443575,0.9909082265,1.0381225,1.128761,14,1.02251996113867
"gamma[3]",0.95,0.5,"mean",0.177717325,0.20066725,0.21191550225,0.223508,0.24481825,14,1.02251996113867
"gamma[4]",0.95,0.5,"mean",0.213518625,0.237115,0.24940690525,0.26149325,0.285091575,14,1.02251996113867
"gamma[5]",0.95,0.5,"mean",0.0286758675,0.053231425,0.065914423593125,0.07869015,0.102041275,14,1.02251996113867
"gamma[6]",0.95,0.5,"mean",0.2538426,0.2733815,0.2836578,0.293854,0.313653875,14,1.02251996113867
"gamma[7]",0.95,0.5,"mean",-1.7205405,-1.62999,-1.58307501875,-1.5359175,-1.44637875,14,1.02251996113867
"gamma[8]",0.95,0.5,"mean",-1.550836,-1.4601775,-1.41164769875,-1.36314,-1.273909,14,1.02251996113867
