"parameter","outer_width","inner_width","point_est","ll","l","m","h","hh","time","rhat"
"gamma[1]",0.95,0.5,"mean",2.69881475,2.84274,2.91821634875,2.9948625,3.13903725,20,1.02113036349973
"gamma[2]",0.95,0.5,"mean",0.92482405,1.0127675,1.054937836125,1.0977875,1.18187025,20,1.02113036349973
"gamma[3]",0.95,0.5,"mean",0.16242715,0.18539225,0.197430251125,0.2094035,0.2324813,20,1.02113036349973
"gamma[4]",0.95,0.5,"mean",0.233715425,0.2546115,0.265561728875,0.27636,0.297357475,20,1.02113036349973
"gamma[5]",0.95,0.5,"mean",0.0231526875,0.04639835,0.0579290709505,0.06961625,0.0920490825,20,1.02113036349973
"gamma[6]",0.95,0.5,"mean",0.258470975,0.27951675,0.290106163625,0.3007325,0.322494425,20,1.02113036349973
"gamma[7]",0.95,0.5,"mean",-1.782974,-1.701725,-1.65954682125,-1.61755,-1.5334595,20,1.02113036349973
"gamma[8]",0.95,0.5,"mean",-1.52773025,-1.4582175,-1.4227033275,-1.38648,-1.31700825,20,1.02113036349973
