"parameter","outer_width","inner_width","point_est","ll","l","m","h","hh","time","rhat"
"gamma[1]",0.95,0.5,"mean",2.6533975,2.797615,2.87740679375,2.956925,3.1075975,13,1.03467369065018
"gamma[2]",0.95,0.5,"mean",0.7420148,0.81993675,0.863429129,0.90571525,0.99480025,13,1.03467369065018
"gamma[3]",0.95,0.5,"mean",0.14818285,0.17233275,0.184213018125,0.1966475,0.219292025,13,1.03467369065018
"gamma[4]",0.95,0.5,"mean",0.2335195,0.25533475,0.266425598625,0.2774325,0.29835785,13,1.03467369065018
"gamma[5]",0.95,0.5,"mean",0.01222224,0.0361187,0.04821388982995,0.060430775,0.0831636375,13,1.03467369065018
"gamma[6]",0.95,0.5,"mean",0.2847676,0.30353575,0.31390657925,0.32396775,0.3453342,13,1.03467369065018
"gamma[7]",0.95,0.5,"mean",-1.797181,-1.7165175,-1.674409965,-1.6326875,-1.54957975,13,1.03467369065018
"gamma[8]",0.95,0.5,"mean",-1.56311025,-1.48155,-1.43726073,-1.3938825,-1.30533975,13,1.03467369065018
