"parameter","outer_width","inner_width","point_est","ll","l","m","h","hh","time","rhat"
"gamma[1]",0.95,0.5,"mean",2.89035875,3.0567125,3.1457037225,3.234705,3.40740375,14,1.03139520621153
"gamma[2]",0.95,0.5,"mean",0.971201475,1.059405,1.10212552375,1.14477,1.23840175,14,1.03139520621153
"gamma[3]",0.95,0.5,"mean",0.176051525,0.19885775,0.210813529375,0.2227575,0.2455059,14,1.03139520621153
"gamma[4]",0.95,0.5,"mean",0.207372925,0.230346,0.24244889925,0.2543955,0.2776049,14,1.03139520621153
"gamma[5]",0.95,0.5,"mean",0.00465111925,0.02920195,0.041398641407935,0.05365935,0.0771061649999999,14,1.03139520621153
"gamma[6]",0.95,0.5,"mean",0.280253875,0.2990235,0.308163434625,0.31755275,0.334426225,14,1.03139520621153
"gamma[7]",0.95,0.5,"mean",-1.62417875,-1.5332925,-1.48897425875,-1.44421,-1.3544485,14,1.03139520621153
"gamma[8]",0.95,0.5,"mean",-1.4830935,-1.3951525,-1.3520929925,-1.3096075,-1.22037825,14,1.03139520621153
