"paramHeader","param","est","posterior_sd","pval","lower_2.5ci","upper_2.5ci","sig","BetweenWithin","mplus_time","rhatMean","rhatLast"
"Means","X",3.178,0.159,0,2.865,3.497,TRUE,"Between",2,1.00023713690412,1.00023713690412
"Means","Y",0.962,0.085,0,0.793,1.126,TRUE,"Between",2,1.00023713690412,1.00023713690412
"Means","PHI_X",0.218,0.022,0,0.174,0.26,TRUE,"Between",2,1.00023713690412,1.00023713690412
"Means","PHI_Y",0.238,0.025,0,0.189,0.288,TRUE,"Between",2,1.00023713690412,1.00023713690412
"Means","PHI_XY",0.051,0.028,0.03,-0.004,0.106,FALSE,"Between",2,1.00023713690412,1.00023713690412
"Means","BETA_YX",0.308,0.032,0,0.245,0.372,TRUE,"Between",2,1.00023713690412,1.00023713690412
"Means","PSI_X",-1.39,0.107,0,-1.602,-1.182,TRUE,"Between",2,1.00023713690412,1.00023713690412
"Means","PSI_Y",-1.218,0.122,0,-1.456,-0.971,TRUE,"Between",2,1.00023713690412,1.00023713690412
