"paramHeader","param","est","posterior_sd","pval","lower_2.5ci","upper_2.5ci","sig","BetweenWithin","mplus_time","rhatMean","rhatLast"
"Means","X",2.93,0.138,0,2.661,3.204,TRUE,"Between",2,1.00016640681075,1.00016640681075
"Means","Y",0.884,0.08,0,0.73,1.044,TRUE,"Between",2,1.00016640681075,1.00016640681075
"Means","PHI_X",0.205,0.023,0,0.16,0.251,TRUE,"Between",2,1.00016640681075,1.00016640681075
"Means","PHI_Y",0.244,0.025,0,0.194,0.293,TRUE,"Between",2,1.00016640681075,1.00016640681075
"Means","PHI_XY",-0.017,0.029,0.269,-0.074,0.039,FALSE,"Between",2,1.00016640681075,1.00016640681075
"Means","BETA_YX",0.309,0.032,0,0.247,0.371,TRUE,"Between",2,1.00016640681075,1.00016640681075
"Means","PSI_X",-1.721,0.112,0,-1.939,-1.502,TRUE,"Between",2,1.00016640681075,1.00016640681075
"Means","PSI_Y",-1.392,0.106,0,-1.601,-1.181,TRUE,"Between",2,1.00016640681075,1.00016640681075
