"paramHeader","param","est","posterior_sd","pval","lower_2.5ci","upper_2.5ci","sig","BetweenWithin","mplus_time","rhatMean","rhatLast"
"Means","X",2.904,0.145,0,2.615,3.185,TRUE,"Between",2,1.00014606488668,1.00014606488668
"Means","Y",1.109,0.083,0,0.947,1.277,TRUE,"Between",2,1.00014606488668,1.00014606488668
"Means","PHI_X",0.183,0.023,0,0.139,0.226,TRUE,"Between",2,1.00014606488668,1.00014606488668
"Means","PHI_Y",0.217,0.026,0,0.167,0.269,TRUE,"Between",2,1.00014606488668,1.00014606488668
"Means","PHI_XY",0.049,0.028,0.042,-0.007,0.104,FALSE,"Between",2,1.00014606488668,1.00014606488668
"Means","BETA_YX",0.311,0.028,0,0.255,0.366,TRUE,"Between",2,1.00014606488668,1.00014606488668
"Means","PSI_X",-1.53,0.101,0,-1.728,-1.336,TRUE,"Between",2,1.00014606488668,1.00014606488668
"Means","PSI_Y",-1.345,0.108,0,-1.558,-1.138,TRUE,"Between",2,1.00014606488668,1.00014606488668
