"paramHeader","param","est","posterior_sd","pval","lower_2.5ci","upper_2.5ci","sig","BetweenWithin","mplus_time","rhatMean","rhatLast"
"Intercepts","X",2.87,0.1,0,2.671,3.068,TRUE,"Between",2,1.00016563382421,1.00016563382421
"Intercepts","Y",1.043,0.063,0,0.921,1.165,TRUE,"Between",2,1.00016563382421,1.00016563382421
"Intercepts","PHI_X",0.22,0.02,0,0.18,0.259,TRUE,"Between",2,1.00016563382421,1.00016563382421
"Intercepts","PHI_Y",0.273,0.019,0,0.235,0.309,TRUE,"Between",2,1.00016563382421,1.00016563382421
"Intercepts","PHI_XY",0.063,0.02,0.001,0.025,0.104,TRUE,"Between",2,1.00016563382421,1.00016563382421
"Intercepts","BETA_YX",0.324,0.018,0,0.288,0.359,TRUE,"Between",2,1.00016563382421,1.00016563382421
"Intercepts","PSI_X",-1.428,0.078,0,-1.585,-1.274,TRUE,"Between",2,1.00016563382421,1.00016563382421
"Intercepts","PSI_Y",-1.332,0.073,0,-1.474,-1.19,TRUE,"Between",2,1.00016563382421,1.00016563382421
