"paramHeader","param","est","posterior_sd","pval","lower_2.5ci","upper_2.5ci","sig","BetweenWithin","mplus_time","rhatMean","rhatLast"
"Intercepts","X",2.905,0.103,0,2.701,3.109,TRUE,"Between",2,1.00017548360906,1.00017548360906
"Intercepts","Y",1.086,0.061,0,0.97,1.206,TRUE,"Between",2,1.00017548360906,1.00017548360906
"Intercepts","PHI_X",0.22,0.017,0,0.186,0.253,TRUE,"Between",2,1.00017548360906,1.00017548360906
"Intercepts","PHI_Y",0.23,0.019,0,0.192,0.266,TRUE,"Between",2,1.00017548360906,1.00017548360906
"Intercepts","PHI_XY",0.075,0.019,0,0.039,0.113,TRUE,"Between",2,1.00017548360906,1.00017548360906
"Intercepts","BETA_YX",0.306,0.021,0,0.263,0.347,TRUE,"Between",2,1.00017548360906,1.00017548360906
"Intercepts","PSI_X",-1.406,0.072,0,-1.548,-1.265,TRUE,"Between",2,1.00017548360906,1.00017548360906
"Intercepts","PSI_Y",-1.334,0.08,0,-1.489,-1.178,TRUE,"Between",2,1.00017548360906,1.00017548360906
