"paramHeader","param","est","posterior_sd","pval","lower_2.5ci","upper_2.5ci","sig","BetweenWithin","mplus_time","rhatMean","rhatLast"
"Intercepts","X",3.096,0.1,0,2.898,3.291,TRUE,"Between",2,1.00021590699031,1.00021590699031
"Intercepts","Y",0.983,0.064,0,0.859,1.109,TRUE,"Between",2,1.00021590699031,1.00021590699031
"Intercepts","PHI_X",0.212,0.018,0,0.175,0.247,TRUE,"Between",2,1.00021590699031,1.00021590699031
"Intercepts","PHI_Y",0.258,0.02,0,0.218,0.296,TRUE,"Between",2,1.00021590699031,1.00021590699031
"Intercepts","PHI_XY",0.04,0.021,0.027,-0.001,0.082,FALSE,"Between",2,1.00021590699031,1.00021590699031
"Intercepts","BETA_YX",0.289,0.021,0,0.248,0.33,TRUE,"Between",2,1.00021590699031,1.00021590699031
"Intercepts","PSI_X",-1.572,0.073,0,-1.718,-1.427,TRUE,"Between",2,1.00021590699031,1.00021590699031
"Intercepts","PSI_Y",-1.288,0.077,0,-1.44,-1.137,TRUE,"Between",2,1.00021590699031,1.00021590699031
