"paramHeader","param","est","posterior_sd","pval","lower_2.5ci","upper_2.5ci","sig","BetweenWithin","mplus_time","rhatMean","rhatLast"
"Intercepts","X",3.048,0.108,0,2.833,3.262,TRUE,"Between",2,1.00009873861873,1.00009873861873
"Intercepts","Y",0.824,0.056,0,0.718,0.935,TRUE,"Between",2,1.00009873861873,1.00009873861873
"Intercepts","PHI_X",0.208,0.022,0,0.165,0.25,TRUE,"Between",2,1.00009873861873,1.00009873861873
"Intercepts","PHI_Y",0.227,0.022,0,0.183,0.268,TRUE,"Between",2,1.00009873861873,1.00009873861873
"Intercepts","PHI_XY",0.034,0.018,0.031,-0.002,0.069,FALSE,"Between",2,1.00009873861873,1.00009873861873
"Intercepts","BETA_YX",0.312,0.023,0,0.266,0.356,TRUE,"Between",2,1.00009873861873,1.00009873861873
"Intercepts","PSI_X",-1.493,0.078,0,-1.648,-1.34,TRUE,"Between",2,1.00009873861873,1.00009873861873
"Intercepts","PSI_Y",-1.418,0.08,0,-1.573,-1.263,TRUE,"Between",2,1.00009873861873,1.00009873861873
