"paramHeader","param","est","posterior_sd","pval","lower_2.5ci","upper_2.5ci","sig","BetweenWithin","mplus_time","rhatMean","rhatLast"
"Intercepts","X",2.906,0.097,0,2.715,3.098,TRUE,"Between",2,1.00011604740273,1.00011604740273
"Intercepts","Y",1.055,0.066,0,0.929,1.186,TRUE,"Between",2,1.00011604740273,1.00011604740273
"Intercepts","PHI_X",0.196,0.019,0,0.158,0.232,TRUE,"Between",2,1.00011604740273,1.00011604740273
"Intercepts","PHI_Y",0.269,0.019,0,0.231,0.305,TRUE,"Between",2,1.00011604740273,1.00011604740273
"Intercepts","PHI_XY",0.072,0.023,0.001,0.027,0.117,TRUE,"Between",2,1.00011604740273,1.00011604740273
"Intercepts","BETA_YX",0.306,0.02,0,0.268,0.345,TRUE,"Between",2,1.00011604740273,1.00011604740273
"Intercepts","PSI_X",-1.606,0.078,0,-1.763,-1.455,TRUE,"Between",2,1.00011604740273,1.00011604740273
"Intercepts","PSI_Y",-1.24,0.087,0,-1.411,-1.07,TRUE,"Between",2,1.00011604740273,1.00011604740273
