"parameter","outer_width","inner_width","point_est","ll","l","m","h","hh","time","rhat"
"gamma[1]",0.95,0.5,"mean",2.71020375,2.87755,2.97176182,3.0605125,3.24659875,13,1.00310520540255
"gamma[2]",0.95,0.5,"mean",0.844297975,0.94401975,0.992947847625,1.04253,1.1368375,13,1.00310520540255
"gamma[3]",0.95,0.5,"mean",0.159603225,0.1886605,0.2033674975,0.21819475,0.246764675,13,1.00310520540255
"gamma[4]",0.95,0.5,"mean",0.2187286,0.24965225,0.265303621625,0.2817365,0.31109195,13,1.00310520540255
"gamma[5]",0.95,0.5,"mean",-0.0652340125,-0.036761325,-0.021671631880345,-0.005922995,0.0220494275,13,1.00310520540255
"gamma[6]",0.95,0.5,"mean",0.310226925,0.34656525,0.36619496175,0.38611975,0.42307435,13,1.00310520540255
"gamma[7]",0.95,0.5,"mean",-1.7399225,-1.594195,-1.51840881125,-1.4438,-1.297418,13,1.00310520540255
"gamma[8]",0.95,0.5,"mean",-1.62740075,-1.499805,-1.42749642,-1.354795,-1.2201475,13,1.00310520540255
