"parameter","outer_width","inner_width","point_est","ll","l","m","h","hh","time","rhat"
"gamma[1]",0.95,0.5,"mean",-1.8615,-1.6084525,-0.883999660375,-0.3286825,0.430248575,48,3.81924555857603
"gamma[2]",0.95,0.5,"mean",0.386210875,1.15517225,1.299319358375,1.665715,1.74126,48,3.81924555857603
"gamma[3]",0.95,0.5,"mean",-0.3173832,-0.2053335,0.71881240675,1.66422,1.69928,48,3.81924555857603
"gamma[4]",0.95,0.5,"mean",1.24602875,1.381315,1.5163637275,1.6011625,1.88388,48,3.81924555857603
"gamma[5]",0.95,0.5,"mean",-1.45641025,-0.4268377,-0.0316088711,0.481024,1.17419,48,3.81924555857603
"gamma[6]",0.95,0.5,"mean",-1.56757,-0.93069475,-0.1327978382875,0.384900025,1.83432,48,3.81924555857603
"gamma[7]",0.95,0.5,"mean",-1.46089075,-0.33109705,0.238584534617638,0.7259325,2.09354,48,3.81924555857603
"gamma[8]",0.95,0.5,"mean",-0.11743225,1.14426,2.09280725659288,2.4626375,5.37373025,48,3.81924555857603
