"parameter","outer_width","inner_width","point_est","ll","l","m","h","hh","time","rhat"
"gamma[1]",0.95,0.5,"mean",2.7543275,2.8553225,2.93979798,3.0202675,3.17372625,80,1.05428249621909
"gamma[2]",0.95,0.5,"mean",0.9006604,0.97931025,1.030251586125,1.0761575,1.2094935,80,1.05428249621909
"gamma[3]",0.95,0.5,"mean",0.174662,0.20499625,0.218835548,0.2333645,0.260385625,80,1.05428249621909
"gamma[4]",0.95,0.5,"mean",0.23950005,0.26989575,0.28498580025,0.300205,0.328978075,80,1.05428249621909
"gamma[5]",0.95,0.5,"mean",0.03402007,0.061263375,0.0771205182287875,0.09243515,0.1228796,80,1.05428249621909
"gamma[6]",0.95,0.5,"mean",0.245246625,0.27526875,0.292486038625,0.3086995,0.3447588,80,1.05428249621909
"gamma[7]",0.95,0.5,"mean",-1.77239,-1.6375725,-1.55953580125,-1.4876825,-1.3088365,80,1.05428249621909
"gamma[8]",0.95,0.5,"mean",-1.63716,-1.50695,-1.438189185,-1.3648825,-1.2402195,80,1.05428249621909
