"parameter","outer_width","inner_width","point_est","ll","l","m","h","hh","time","rhat"
"gamma[1]",0.95,0.5,"mean",2.67622475,2.8552425,2.95672007875,3.057675,3.244271,13,1.00253482281111
"gamma[2]",0.95,0.5,"mean",0.847795125,0.9510185,1.010090244375,1.06612,1.18544125,13,1.00253482281111
"gamma[3]",0.95,0.5,"mean",0.15042965,0.1772125,0.190916001625,0.204196,0.231726,13,1.00253482281111
"gamma[4]",0.95,0.5,"mean",0.22143395,0.2535865,0.270077939375,0.2869645,0.3180032,13,1.00253482281111
"gamma[5]",0.95,0.5,"mean",-0.0105264575,0.022164975,0.039246001851775,0.056331925,0.08910066,13,1.00253482281111
"gamma[6]",0.95,0.5,"mean",0.254448375,0.289515,0.307360792125,0.325335,0.359451125,13,1.00253482281111
"gamma[7]",0.95,0.5,"mean",-1.7457815,-1.61787,-1.54850595875,-1.4822825,-1.34609925,13,1.00253482281111
"gamma[8]",0.95,0.5,"mean",-1.5802015,-1.4476325,-1.378655792375,-1.31142,-1.18047325,13,1.00253482281111
