"paramHeader","param","est","posterior_sd","pval","lower_2.5ci","upper_2.5ci","sig","BetweenWithin","mplus_time","rhatMean","rhatLast"
"Intercepts","X",3.146,0.101,0,2.951,3.344,TRUE,"Between",2,1.00107143823825,1.00107143823825
"Intercepts","Y",1.076,0.063,0,0.953,1.199,TRUE,"Between",2,1.00107143823825,1.00107143823825
"Intercepts","PHI_X",0.209,0.016,0,0.177,0.24,TRUE,"Between",2,1.00107143823825,1.00107143823825
"Intercepts","PHI_Y",0.259,0.018,0,0.224,0.295,TRUE,"Between",2,1.00107143823825,1.00107143823825
"Intercepts","PHI_XY",0.049,0.019,0.004,0.012,0.085,TRUE,"Between",2,1.00107143823825,1.00107143823825
"Intercepts","BETA_YX",0.302,0.016,0,0.272,0.334,TRUE,"Between",2,1.00107143823825,1.00107143823825
"Intercepts","PSI_X",-1.567,0.065,0,-1.696,-1.441,TRUE,"Between",2,1.00107143823825,1.00107143823825
"Intercepts","PSI_Y",-1.273,0.062,0,-1.397,-1.149,TRUE,"Between",2,1.00107143823825,1.00107143823825
