"paramHeader","param","est","posterior_sd","pval","lower_2.5ci","upper_2.5ci","sig","BetweenWithin","mplus_time","rhatMean","rhatLast"
"Intercepts","X",2.991,0.106,0,2.782,3.198,TRUE,"Between",2,1.0013286911844,1.0013286911844
"Intercepts","Y",1.008,0.074,0,0.858,1.15,TRUE,"Between",2,1.0013286911844,1.0013286911844
"Intercepts","PHI_X",0.198,0.017,0,0.164,0.23,TRUE,"Between",2,1.0013286911844,1.0013286911844
"Intercepts","PHI_Y",0.217,0.018,0,0.182,0.252,TRUE,"Between",2,1.0013286911844,1.0013286911844
"Intercepts","PHI_XY",0.052,0.018,0.002,0.016,0.088,TRUE,"Between",2,1.0013286911844,1.0013286911844
"Intercepts","BETA_YX",0.313,0.017,0,0.281,0.346,TRUE,"Between",2,1.0013286911844,1.0013286911844
"Intercepts","PSI_X",-1.653,0.068,0,-1.791,-1.522,TRUE,"Between",2,1.0013286911844,1.0013286911844
"Intercepts","PSI_Y",-1.389,0.069,0,-1.525,-1.255,TRUE,"Between",2,1.0013286911844,1.0013286911844
