"paramHeader","param","est","posterior_sd","pval","lower_2.5ci","upper_2.5ci","sig","BetweenWithin","mplus_time","rhatMean","rhatLast"
"Intercepts","X",2.849,0.11,0,2.635,3.064,TRUE,"Between",2,1.00070929370816,1.00070929370816
"Intercepts","Y",0.915,0.069,0,0.78,1.046,TRUE,"Between",2,1.00070929370816,1.00070929370816
"Intercepts","PHI_X",0.189,0.017,0,0.154,0.221,TRUE,"Between",2,1.00070929370816,1.00070929370816
"Intercepts","PHI_Y",0.273,0.017,0,0.239,0.307,TRUE,"Between",2,1.00070929370816,1.00070929370816
"Intercepts","PHI_XY",-0.004,0.019,0.41,-0.042,0.033,FALSE,"Between",2,1.00070929370816,1.00070929370816
"Intercepts","BETA_YX",0.268,0.017,0,0.236,0.301,TRUE,"Between",2,1.00070929370816,1.00070929370816
"Intercepts","PSI_X",-1.712,0.068,0,-1.852,-1.581,TRUE,"Between",2,1.00070929370816,1.00070929370816
"Intercepts","PSI_Y",-1.408,0.065,0,-1.536,-1.28,TRUE,"Between",2,1.00070929370816,1.00070929370816
