"parameter","outer_width","inner_width","point_est","ll","l","m","h","hh","time","rhat"
"gamma[1]",0.95,0.5,"mean",2.54921925,2.69227,2.75912904875,2.8283925,2.96224125,11,1.00117381131832
"gamma[2]",0.95,0.5,"mean",0.852497875,0.93297325,0.974536018625,1.0155,1.099643,11,1.00117381131832
"gamma[3]",0.95,0.5,"mean",0.15736525,0.18322,0.196369257125,0.20970075,0.234548075,11,1.00117381131832
"gamma[4]",0.95,0.5,"mean",0.2050691,0.2295985,0.242841055,0.25612225,0.28137635,11,1.00117381131832
"gamma[5]",0.95,0.5,"mean",0.0364781375,0.060437,0.0722846717425,0.08427295,0.1081004,11,1.00117381131832
"gamma[6]",0.95,0.5,"mean",0.238433675,0.2687395,0.2845998385,0.3005695,0.3313419,11,1.00117381131832
"gamma[7]",0.95,0.5,"mean",-1.74006175,-1.66009,-1.62035177375,-1.5798075,-1.50047525,11,1.00117381131832
"gamma[8]",0.95,0.5,"mean",-1.596276,-1.4855775,-1.4318997475,-1.3765875,-1.27450975,11,1.00117381131832
