"paramHeader","param","est","posterior_sd","pval","lower_2.5ci","upper_2.5ci","sig","BetweenWithin","mplus_time","rhatMean","rhatLast"
"Intercepts","X",2.797,0.111,0,2.579,3.019,TRUE,"Between",2,1.00197437482952,1.00197437482952
"Intercepts","Y",0.858,0.077,0,0.706,1.01,TRUE,"Between",2,1.00197437482952,1.00197437482952
"Intercepts","PHI_X",0.214,0.017,0,0.179,0.246,TRUE,"Between",2,1.00197437482952,1.00197437482952
"Intercepts","PHI_Y",0.256,0.017,0,0.223,0.291,TRUE,"Between",2,1.00197437482952,1.00197437482952
"Intercepts","PHI_XY",0.021,0.019,0.143,-0.017,0.057,FALSE,"Between",2,1.00197437482952,1.00197437482952
"Intercepts","BETA_YX",0.266,0.017,0,0.232,0.3,TRUE,"Between",2,1.00197437482952,1.00197437482952
"Intercepts","PSI_X",-1.63,0.068,0,-1.767,-1.497,TRUE,"Between",2,1.00197437482952,1.00197437482952
"Intercepts","PSI_Y",-1.407,0.056,0,-1.519,-1.296,TRUE,"Between",2,1.00197437482952,1.00197437482952
