"paramHeader","param","est","posterior_sd","pval","lower_2.5ci","upper_2.5ci","sig","BetweenWithin","mplus_time","rhatMean","rhatLast"
"Intercepts","X",3.286,0.113,0,3.071,3.513,TRUE,"Between",3,1.0006747849426,1.0006747849426
"Intercepts","Y",1.096,0.065,0,0.97,1.226,TRUE,"Between",3,1.0006747849426,1.0006747849426
"Intercepts","PHI_X",0.212,0.018,0,0.175,0.247,TRUE,"Between",3,1.0006747849426,1.0006747849426
"Intercepts","PHI_Y",0.251,0.018,0,0.215,0.286,TRUE,"Between",3,1.0006747849426,1.0006747849426
"Intercepts","PHI_XY",0.022,0.02,0.136,-0.018,0.061,FALSE,"Between",3,1.0006747849426,1.0006747849426
"Intercepts","BETA_YX",0.288,0.017,0,0.254,0.322,TRUE,"Between",3,1.0006747849426,1.0006747849426
"Intercepts","PSI_X",-1.501,0.064,0,-1.627,-1.376,TRUE,"Between",3,1.0006747849426,1.0006747849426
"Intercepts","PSI_Y",-1.423,0.058,0,-1.538,-1.31,TRUE,"Between",3,1.0006747849426,1.0006747849426
