"paramHeader","param","est","posterior_sd","pval","lower_2.5ci","upper_2.5ci","sig","BetweenWithin","mplus_time","rhatMean","rhatLast"
"Intercepts","X",2.973,0.133,0,2.706,3.235,TRUE,"Between",2,1.00114085127029,1.00114085127029
"Intercepts","Y",0.95,0.083,0,0.782,1.109,TRUE,"Between",2,1.00114085127029,1.00114085127029
"Intercepts","PHI_X",0.18,0.018,0,0.143,0.215,TRUE,"Between",2,1.00114085127029,1.00114085127029
"Intercepts","PHI_Y",0.239,0.019,0,0.202,0.277,TRUE,"Between",2,1.00114085127029,1.00114085127029
"Intercepts","PHI_XY",0.08,0.021,0.001,0.038,0.119,TRUE,"Between",2,1.00114085127029,1.00114085127029
"Intercepts","BETA_YX",0.27,0.017,0,0.237,0.303,TRUE,"Between",2,1.00114085127029,1.00114085127029
"Intercepts","PSI_X",-1.665,0.074,0,-1.812,-1.522,TRUE,"Between",2,1.00114085127029,1.00114085127029
"Intercepts","PSI_Y",-1.416,0.06,0,-1.535,-1.299,TRUE,"Between",2,1.00114085127029,1.00114085127029
