"paramHeader","param","est","posterior_sd","pval","lower_2.5ci","upper_2.5ci","sig","BetweenWithin","mplus_time","rhatMean","rhatLast"
"Intercepts","X",3.108,0.145,0,2.807,3.381,TRUE,"Between",3,1.00186903475558,1.00186903475558
"Intercepts","Y",1.088,0.083,0,0.916,1.245,TRUE,"Between",3,1.00186903475558,1.00186903475558
"Intercepts","PHI_X",0.203,0.018,0,0.166,0.237,TRUE,"Between",3,1.00186903475558,1.00186903475558
"Intercepts","PHI_Y",0.267,0.019,0,0.23,0.304,TRUE,"Between",3,1.00186903475558,1.00186903475558
"Intercepts","PHI_XY",0.049,0.017,0.002,0.017,0.082,TRUE,"Between",3,1.00186903475558,1.00186903475558
"Intercepts","BETA_YX",0.322,0.018,0,0.287,0.357,TRUE,"Between",3,1.00186903475558,1.00186903475558
"Intercepts","PSI_X",-1.563,0.069,0,-1.701,-1.43,TRUE,"Between",3,1.00186903475558,1.00186903475558
"Intercepts","PSI_Y",-1.348,0.073,0,-1.497,-1.205,TRUE,"Between",3,1.00186903475558,1.00186903475558
