"paramHeader","param","est","posterior_sd","pval","lower_2.5ci","upper_2.5ci","sig","BetweenWithin","mplus_time","rhatMean","rhatLast"
"Intercepts","X",3.102,0.119,0,2.87,3.339,TRUE,"Between",2,1.00098462971959,1.00098462971959
"Intercepts","Y",1.087,0.067,0,0.957,1.222,TRUE,"Between",2,1.00098462971959,1.00098462971959
"Intercepts","PHI_X",0.188,0.018,0,0.152,0.222,TRUE,"Between",2,1.00098462971959,1.00098462971959
"Intercepts","PHI_Y",0.284,0.018,0,0.249,0.319,TRUE,"Between",2,1.00098462971959,1.00098462971959
"Intercepts","PHI_XY",0.034,0.018,0.032,-0.002,0.069,FALSE,"Between",2,1.00098462971959,1.00098462971959
"Intercepts","BETA_YX",0.282,0.019,0,0.246,0.32,TRUE,"Between",2,1.00098462971959,1.00098462971959
"Intercepts","PSI_X",-1.579,0.068,0,-1.714,-1.446,TRUE,"Between",2,1.00098462971959,1.00098462971959
"Intercepts","PSI_Y",-1.371,0.069,0,-1.506,-1.236,TRUE,"Between",2,1.00098462971959,1.00098462971959
