"paramHeader","param","est","posterior_sd","pval","lower_2.5ci","upper_2.5ci","sig","BetweenWithin","mplus_time","rhatMean","rhatLast"
"Intercepts","X",2.981,0.128,0,2.744,3.239,TRUE,"Between",3,1.00154852593986,1.00154852593986
"Intercepts","Y",1.002,0.068,0,0.871,1.137,TRUE,"Between",3,1.00154852593986,1.00154852593986
"Intercepts","PHI_X",0.209,0.019,0,0.172,0.245,TRUE,"Between",3,1.00154852593986,1.00154852593986
"Intercepts","PHI_Y",0.229,0.019,0,0.192,0.267,TRUE,"Between",3,1.00154852593986,1.00154852593986
"Intercepts","PHI_XY",0.071,0.017,0,0.038,0.103,TRUE,"Between",3,1.00154852593986,1.00154852593986
"Intercepts","BETA_YX",0.26,0.017,0,0.226,0.295,TRUE,"Between",3,1.00154852593986,1.00154852593986
"Intercepts","PSI_X",-1.627,0.067,0,-1.754,-1.496,TRUE,"Between",3,1.00154852593986,1.00154852593986
"Intercepts","PSI_Y",-1.41,0.071,0,-1.545,-1.266,TRUE,"Between",3,1.00154852593986,1.00154852593986
