"paramHeader","param","est","posterior_sd","pval","lower_2.5ci","upper_2.5ci","sig","BetweenWithin","mplus_time","rhatMean","rhatLast"
"Intercepts","X",3.044,0.121,0,2.817,3.289,TRUE,"Between",2,1.00227753829088,1.00227753829088
"Intercepts","Y",1.051,0.076,0,0.907,1.202,TRUE,"Between",2,1.00227753829088,1.00227753829088
"Intercepts","PHI_X",0.22,0.017,0,0.186,0.252,TRUE,"Between",2,1.00227753829088,1.00227753829088
"Intercepts","PHI_Y",0.236,0.02,0,0.195,0.274,TRUE,"Between",2,1.00227753829088,1.00227753829088
"Intercepts","PHI_XY",0.077,0.018,0,0.041,0.112,TRUE,"Between",2,1.00227753829088,1.00227753829088
"Intercepts","BETA_YX",0.283,0.016,0,0.251,0.315,TRUE,"Between",2,1.00227753829088,1.00227753829088
"Intercepts","PSI_X",-1.637,0.069,0,-1.77,-1.5,TRUE,"Between",2,1.00227753829088,1.00227753829088
"Intercepts","PSI_Y",-1.361,0.07,0,-1.495,-1.219,TRUE,"Between",2,1.00227753829088,1.00227753829088
