"parameter","outer_width","inner_width","point_est","ll","l","m","h","hh","time","rhat"
"gamma[1]",0.95,0.5,"mean",2.5735695,2.7408175,2.8311531175,2.92215,3.08510375,12,1.00134762858655
"gamma[2]",0.95,0.5,"mean",0.965805575,1.088175,1.143666591875,1.20144,1.302956,12,1.00134762858655
"gamma[3]",0.95,0.5,"mean",0.15996955,0.18976525,0.204365295,0.21927825,0.247600725,12,1.00134762858655
"gamma[4]",0.95,0.5,"mean",0.23250235,0.26348375,0.280042942125,0.29660775,0.328358,12,1.00134762858655
"gamma[5]",0.95,0.5,"mean",0.0141167625,0.04866155,0.0676242959165875,0.08648265,0.12260855,12,1.00134762858655
"gamma[6]",0.95,0.5,"mean",0.213177875,0.252451,0.272846699375,0.29322375,0.332160725,12,1.00134762858655
"gamma[7]",0.95,0.5,"mean",-1.639552,-1.528985,-1.46966337125,-1.4102925,-1.298848,12,1.00134762858655
"gamma[8]",0.95,0.5,"mean",-1.67715825,-1.5350025,-1.46233520375,-1.391715,-1.245948,12,1.00134762858655
