"parameter","outer_width","inner_width","point_est","ll","l","m","h","hh","time","rhat"
"gamma[1]",0.95,0.5,"mean",2.6819095,2.86352,2.96912544,3.07034,3.26519775,13,1.00126517601664
"gamma[2]",0.95,0.5,"mean",0.898932075,1.0016175,1.054156615,1.1071225,1.20600575,13,1.00126517601664
"gamma[3]",0.95,0.5,"mean",0.1720439,0.201789,0.216561749375,0.23172975,0.260302125,13,1.00126517601664
"gamma[4]",0.95,0.5,"mean",0.180877425,0.21203525,0.228269311125,0.24458975,0.275147875,13,1.00126517601664
"gamma[5]",0.95,0.5,"mean",0.00984593575000002,0.040420075,0.05601872442775,0.071646675,0.1028514,13,1.00126517601664
"gamma[6]",0.95,0.5,"mean",0.29831755,0.32970825,0.346436165375,0.36289425,0.395413575,13,1.00126517601664
"gamma[7]",0.95,0.5,"mean",-1.654014,-1.51311,-1.440725092125,-1.3690325,-1.22673075,13,1.00126517601664
"gamma[8]",0.95,0.5,"mean",-1.518812,-1.3947325,-1.33027510075,-1.266615,-1.13759925,13,1.00126517601664
