"parameter","outer_width","inner_width","point_est","ll","l","m","h","hh","time","rhat"
"gamma[1]",0.95,0.5,"mean",2.82779775,3.0050175,3.09725301625,3.1867975,3.373014,13,1.0018139422428
"gamma[2]",0.95,0.5,"mean",0.79524215,0.91020525,0.967381576375,1.0255975,1.14078225,13,1.0018139422428
"gamma[3]",0.95,0.5,"mean",0.1313955,0.16073975,0.1756959206,0.19061325,0.218241725,13,1.0018139422428
"gamma[4]",0.95,0.5,"mean",0.217170475,0.24569675,0.26034046125,0.2748275,0.304006825,13,1.0018139422428
"gamma[5]",0.95,0.5,"mean",0.00172432500000002,0.035491425,0.0528330996912875,0.07038155,0.1036675,13,1.0018139422428
"gamma[6]",0.95,0.5,"mean",0.23858875,0.277675,0.297663149625,0.31770025,0.357068175,13,1.0018139422428
"gamma[7]",0.95,0.5,"mean",-1.72917675,-1.59437,-1.52408145,-1.45636,-1.31577875,13,1.0018139422428
"gamma[8]",0.95,0.5,"mean",-1.6595955,-1.51652,-1.449647965,-1.3803475,-1.2517635,13,1.0018139422428
