"parameter","outer_width","inner_width","point_est","ll","l","m","h","hh","time","rhat"
"gamma[1]",0.95,0.5,"mean",2.88926775,3.0575875,3.14618835125,3.23447,3.40406325,13,1.00241573562326
"gamma[2]",0.95,0.5,"mean",0.671933575,0.786606,0.843419918625,0.90326975,1.007898,13,1.00241573562326
"gamma[3]",0.95,0.5,"mean",0.1572243,0.18590575,0.200358116,0.2153135,0.242959025,13,1.00241573562326
"gamma[4]",0.95,0.5,"mean",0.2162028,0.24569675,0.261506669125,0.27702625,0.3069506,13,1.00241573562326
"gamma[5]",0.95,0.5,"mean",-0.01666693,0.021369075,0.0410578451749,0.061141925,0.0987713175,13,1.00241573562326
"gamma[6]",0.95,0.5,"mean",0.254077525,0.2956375,0.315119293125,0.3352475,0.37298085,13,1.00241573562326
"gamma[7]",0.95,0.5,"mean",-1.87529,-1.723955,-1.64598434,-1.5700875,-1.41224925,13,1.00241573562326
"gamma[8]",0.95,0.5,"mean",-1.51128625,-1.37397,-1.303854678625,-1.23249,-1.09679975,13,1.00241573562326
