"parameter","outer_width","inner_width","point_est","ll","l","m","h","hh","time","rhat"
"gamma[1]",0.95,0.5,"mean",2.841554,3.03499,3.13708246,3.239385,3.4388635,14,1.00506901880582
"gamma[2]",0.95,0.5,"mean",0.678443725,0.77253425,0.822899308375,0.8727465,0.97224945,14,1.00506901880582
"gamma[3]",0.95,0.5,"mean",0.166179375,0.19426075,0.208663998,0.2229435,0.250386925,14,1.00506901880582
"gamma[4]",0.95,0.5,"mean",0.226662575,0.2524745,0.2652470035,0.27795675,0.30299215,14,1.00506901880582
"gamma[5]",0.95,0.5,"mean",-0.04744597,-0.016539325,-0.000115480576645,0.016685475,0.0475111025,14,1.00506901880582
"gamma[6]",0.95,0.5,"mean",0.24259615,0.28083375,0.30055564075,0.32037325,0.358640325,14,1.00506901880582
"gamma[7]",0.95,0.5,"mean",-1.7547185,-1.6051875,-1.52874450375,-1.4503875,-1.30609225,14,1.00506901880582
"gamma[8]",0.95,0.5,"mean",-1.671536,-1.5296375,-1.46046307375,-1.3911975,-1.25893675,14,1.00506901880582
