"paramHeader","param","est","posterior_sd","pval","lower_2.5ci","upper_2.5ci","sig","BetweenWithin","mplus_time","rhatMean","rhatLast"
"Intercepts","X",2.832,0.155,0,2.521,3.133,TRUE,"Between",2,1.00015384317134,1.00015384317134
"Intercepts","Y",0.889,0.075,0,0.742,1.039,TRUE,"Between",2,1.00015384317134,1.00015384317134
"Intercepts","PHI_X",0.232,0.023,0,0.186,0.278,TRUE,"Between",2,1.00015384317134,1.00015384317134
"Intercepts","PHI_Y",0.205,0.024,0,0.16,0.251,TRUE,"Between",2,1.00015384317134,1.00015384317134
"Intercepts","PHI_XY",0.085,0.022,0,0.043,0.128,TRUE,"Between",2,1.00015384317134,1.00015384317134
"Intercepts","BETA_YX",0.287,0.029,0,0.229,0.344,TRUE,"Between",2,1.00015384317134,1.00015384317134
"Intercepts","PSI_X",-1.612,0.114,0,-1.835,-1.388,TRUE,"Between",2,1.00015384317134,1.00015384317134
"Intercepts","PSI_Y",-1.547,0.097,0,-1.74,-1.357,TRUE,"Between",2,1.00015384317134,1.00015384317134
