"paramHeader","param","est","posterior_sd","pval","lower_2.5ci","upper_2.5ci","sig","BetweenWithin","mplus_time","rhatMean","rhatLast"
"Intercepts","X",2.742,0.15,0,2.445,3.032,TRUE,"Between",2,1.00016131097494,1.00016131097494
"Intercepts","Y",0.951,0.08,0,0.795,1.109,TRUE,"Between",2,1.00016131097494,1.00016131097494
"Intercepts","PHI_X",0.189,0.024,0,0.141,0.236,TRUE,"Between",2,1.00016131097494,1.00016131097494
"Intercepts","PHI_Y",0.267,0.023,0,0.222,0.312,TRUE,"Between",2,1.00016131097494,1.00016131097494
"Intercepts","PHI_XY",0.072,0.026,0.002,0.023,0.124,TRUE,"Between",2,1.00016131097494,1.00016131097494
"Intercepts","BETA_YX",0.28,0.027,0,0.227,0.333,TRUE,"Between",2,1.00016131097494,1.00016131097494
"Intercepts","PSI_X",-1.406,0.105,0,-1.612,-1.2,TRUE,"Between",2,1.00016131097494,1.00016131097494
"Intercepts","PSI_Y",-1.376,0.102,0,-1.581,-1.178,TRUE,"Between",2,1.00016131097494,1.00016131097494
