"paramHeader","param","est","posterior_sd","pval","lower_2.5ci","upper_2.5ci","sig","BetweenWithin","mplus_time","rhatMean","rhatLast"
"Intercepts","X",2.891,0.118,0,2.658,3.119,TRUE,"Between",2,1.00015432632932,1.00015432632932
"Intercepts","Y",1.144,0.092,0,0.965,1.327,TRUE,"Between",2,1.00015432632932,1.00015432632932
"Intercepts","PHI_X",0.209,0.021,0,0.168,0.25,TRUE,"Between",2,1.00015432632932,1.00015432632932
"Intercepts","PHI_Y",0.268,0.023,0,0.224,0.313,TRUE,"Between",2,1.00015432632932,1.00015432632932
"Intercepts","PHI_XY",0.071,0.026,0.003,0.019,0.122,TRUE,"Between",2,1.00015432632932,1.00015432632932
"Intercepts","BETA_YX",0.321,0.028,0,0.266,0.376,TRUE,"Between",2,1.00015432632932,1.00015432632932
"Intercepts","PSI_X",-1.668,0.105,0,-1.875,-1.463,TRUE,"Between",2,1.00015432632932,1.00015432632932
"Intercepts","PSI_Y",-1.36,0.107,0,-1.573,-1.152,TRUE,"Between",2,1.00015432632932,1.00015432632932
