"paramHeader","param","est","posterior_sd","pval","lower_2.5ci","upper_2.5ci","sig","BetweenWithin","mplus_time","rhatMean","rhatLast"
"Intercepts","X",3.143,0.119,0,2.908,3.375,TRUE,"Between",2,1.00013614042921,1.00013614042921
"Intercepts","Y",0.999,0.082,0,0.84,1.162,TRUE,"Between",2,1.00013614042921,1.00013614042921
"Intercepts","PHI_X",0.228,0.021,0,0.187,0.268,TRUE,"Between",2,1.00013614042921,1.00013614042921
"Intercepts","PHI_Y",0.231,0.025,0,0.181,0.281,TRUE,"Between",2,1.00013614042921,1.00013614042921
"Intercepts","PHI_XY",0.066,0.02,0.001,0.026,0.106,TRUE,"Between",2,1.00013614042921,1.00013614042921
"Intercepts","BETA_YX",0.304,0.029,0,0.249,0.361,TRUE,"Between",2,1.00013614042921,1.00013614042921
"Intercepts","PSI_X",-1.597,0.112,0,-1.818,-1.376,TRUE,"Between",2,1.00013614042921,1.00013614042921
"Intercepts","PSI_Y",-1.412,0.112,0,-1.637,-1.194,TRUE,"Between",2,1.00013614042921,1.00013614042921
