"paramHeader","param","est","posterior_sd","pval","lower_2.5ci","upper_2.5ci","sig","BetweenWithin","mplus_time","rhatMean","rhatLast"
"Intercepts","X",2.978,0.134,0,2.713,3.238,TRUE,"Between",2,1.00029300316371,1.00029300316371
"Intercepts","Y",1.035,0.083,0,0.874,1.198,TRUE,"Between",2,1.00029300316371,1.00029300316371
"Intercepts","PHI_X",0.196,0.02,0,0.157,0.236,TRUE,"Between",2,1.00029300316371,1.00029300316371
"Intercepts","PHI_Y",0.253,0.026,0,0.203,0.305,TRUE,"Between",2,1.00029300316371,1.00029300316371
"Intercepts","PHI_XY",0.057,0.021,0.005,0.013,0.097,TRUE,"Between",2,1.00029300316371,1.00029300316371
"Intercepts","BETA_YX",0.28,0.026,0,0.229,0.331,TRUE,"Between",2,1.00029300316371,1.00029300316371
"Intercepts","PSI_X",-1.59,0.112,0,-1.811,-1.37,TRUE,"Between",2,1.00029300316371,1.00029300316371
"Intercepts","PSI_Y",-1.502,0.104,0,-1.709,-1.297,TRUE,"Between",2,1.00029300316371,1.00029300316371
