"paramHeader","param","est","posterior_sd","pval","lower_2.5ci","upper_2.5ci","sig","BetweenWithin","mplus_time","rhatMean","rhatLast"
"Intercepts","X",2.875,0.132,0,2.612,3.129,TRUE,"Between",2,1.00014487590667,1.00014487590667
"Intercepts","Y",0.92,0.074,0,0.777,1.065,TRUE,"Between",2,1.00014487590667,1.00014487590667
"Intercepts","PHI_X",0.229,0.019,0,0.192,0.266,TRUE,"Between",2,1.00014487590667,1.00014487590667
"Intercepts","PHI_Y",0.242,0.025,0,0.195,0.291,TRUE,"Between",2,1.00014487590667,1.00014487590667
"Intercepts","PHI_XY",0.049,0.022,0.015,0.006,0.093,TRUE,"Between",2,1.00014487590667,1.00014487590667
"Intercepts","BETA_YX",0.286,0.029,0,0.228,0.344,TRUE,"Between",2,1.00014487590667,1.00014487590667
"Intercepts","PSI_X",-1.484,0.114,0,-1.707,-1.261,TRUE,"Between",2,1.00014487590667,1.00014487590667
"Intercepts","PSI_Y",-1.301,0.103,0,-1.509,-1.103,TRUE,"Between",2,1.00014487590667,1.00014487590667
