"paramHeader","param","est","posterior_sd","pval","lower_2.5ci","upper_2.5ci","sig","BetweenWithin","mplus_time","rhatMean","rhatLast"
"Intercepts","X",2.704,0.136,0,2.432,2.967,TRUE,"Between",3,1.00012388671917,1.00012388671917
"Intercepts","Y",1.048,0.09,0,0.874,1.226,TRUE,"Between",3,1.00012388671917,1.00012388671917
"Intercepts","PHI_X",0.215,0.025,0,0.167,0.263,TRUE,"Between",3,1.00012388671917,1.00012388671917
"Intercepts","PHI_Y",0.281,0.026,0,0.231,0.332,TRUE,"Between",3,1.00012388671917,1.00012388671917
"Intercepts","PHI_XY",0.073,0.021,0,0.032,0.114,TRUE,"Between",3,1.00012388671917,1.00012388671917
"Intercepts","BETA_YX",0.283,0.026,0,0.232,0.334,TRUE,"Between",3,1.00012388671917,1.00012388671917
"Intercepts","PSI_X",-1.68,0.101,0,-1.876,-1.484,TRUE,"Between",3,1.00012388671917,1.00012388671917
"Intercepts","PSI_Y",-1.508,0.109,0,-1.726,-1.292,TRUE,"Between",3,1.00012388671917,1.00012388671917
