"paramHeader","param","est","posterior_sd","pval","lower_2.5ci","upper_2.5ci","sig","BetweenWithin","mplus_time","rhatMean","rhatLast"
"Intercepts","X",2.888,0.15,0,2.592,3.18,TRUE,"Between",2,1.00015395102785,1.00015395102785
"Intercepts","Y",1.07,0.089,0,0.896,1.249,TRUE,"Between",2,1.00015395102785,1.00015395102785
"Intercepts","PHI_X",0.228,0.024,0,0.181,0.276,TRUE,"Between",2,1.00015395102785,1.00015395102785
"Intercepts","PHI_Y",0.271,0.023,0,0.226,0.315,TRUE,"Between",2,1.00015395102785,1.00015395102785
"Intercepts","PHI_XY",0.051,0.026,0.021,0.001,0.102,TRUE,"Between",2,1.00015395102785,1.00015395102785
"Intercepts","BETA_YX",0.364,0.029,0,0.307,0.42,TRUE,"Between",2,1.00015395102785,1.00015395102785
"Intercepts","PSI_X",-1.414,0.109,0,-1.631,-1.2,TRUE,"Between",2,1.00015395102785,1.00015395102785
"Intercepts","PSI_Y",-1.322,0.106,0,-1.534,-1.114,TRUE,"Between",2,1.00015395102785,1.00015395102785
