"paramHeader","param","est","posterior_sd","pval","lower_2.5ci","upper_2.5ci","sig","BetweenWithin","mplus_time","rhatMean","rhatLast"
"Intercepts","X",2.986,0.141,0,2.708,3.257,TRUE,"Between",2,1.00015073000389,1.00015073000389
"Intercepts","Y",0.913,0.084,0,0.75,1.082,TRUE,"Between",2,1.00015073000389,1.00015073000389
"Intercepts","PHI_X",0.241,0.025,0,0.193,0.29,TRUE,"Between",2,1.00015073000389,1.00015073000389
"Intercepts","PHI_Y",0.246,0.02,0,0.207,0.285,TRUE,"Between",2,1.00015073000389,1.00015073000389
"Intercepts","PHI_XY",0.027,0.021,0.106,-0.016,0.069,FALSE,"Between",2,1.00015073000389,1.00015073000389
"Intercepts","BETA_YX",0.283,0.026,0,0.232,0.335,TRUE,"Between",2,1.00015073000389,1.00015073000389
"Intercepts","PSI_X",-1.624,0.113,0,-1.847,-1.398,TRUE,"Between",2,1.00015073000389,1.00015073000389
"Intercepts","PSI_Y",-1.492,0.096,0,-1.684,-1.305,TRUE,"Between",2,1.00015073000389,1.00015073000389
