"parameter","outer_width","inner_width","point_est","ll","l","m","h","hh","time","rhat"
"gamma[1]",0.95,0.5,"mean",3.07460225,3.24846,3.3413290375,3.433095,3.61190225,26,1.02902755416361
"gamma[2]",0.95,0.5,"mean",1.0037175,1.11289,1.1713646785,1.22898,1.3413495,26,1.02902755416361
"gamma[3]",0.95,0.5,"mean",0.19611425,0.21659975,0.227198121083333,0.2380665,0.258458875,26,1.02902755416361
"gamma[4]",0.95,0.5,"mean",0.218008675,0.2435935,0.256559343,0.26953475,0.294206425,26,1.02902755416361
"gamma[5]",0.95,0.5,"mean",0.013210505,0.0368089,0.0488499958695833,0.061047725,0.0845430225,26,1.02902755416361
"gamma[6]",0.95,0.5,"mean",0.2936478,0.31517475,0.32638890425,0.3376735,0.3598002,26,1.02902755416361
"gamma[7]",0.95,0.5,"mean",-1.66911525,-1.5858625,-1.54259357083333,-1.4996175,-1.4132175,26,1.02902755416361
"gamma[8]",0.95,0.5,"mean",-1.4865805,-1.3946575,-1.34809371416667,-1.30131,-1.20961975,26,1.02902755416361
