"parameter","outer_width","inner_width","point_est","ll","l","m","h","hh","time","rhat"
"gamma[1]",0.95,0.5,"mean",2.7649295,2.927045,3.0109146975,3.0960525,3.255451,16,1.02748502578223
"gamma[2]",0.95,0.5,"mean",0.7861192,0.889877,0.943612464,0.99815175,1.0979715,16,1.02748502578223
"gamma[3]",0.95,0.5,"mean",0.17961665,0.200679,0.211640006666667,0.22247675,0.24322155,16,1.02748502578223
"gamma[4]",0.95,0.5,"mean",0.2172721,0.24153,0.254175716083333,0.26699375,0.291539125,16,1.02748502578223
"gamma[5]",0.95,0.5,"mean",0.01121863,0.034889475,0.0469145384356083,0.0592925,0.0819334025,16,1.02748502578223
"gamma[6]",0.95,0.5,"mean",0.26404415,0.28923975,0.301916523333333,0.3149695,0.338875925,16,1.02748502578223
"gamma[7]",0.95,0.5,"mean",-1.687522,-1.5947,-1.545869445,-1.4973075,-1.40382825,16,1.02748502578223
"gamma[8]",0.95,0.5,"mean",-1.51423325,-1.42796,-1.38481341083333,-1.3406625,-1.25944425,16,1.02748502578223
