"parameter","outer_width","inner_width","point_est","ll","l","m","h","hh","time","rhat"
"gamma[1]",0.95,0.5,"mean",2.818839,2.9841075,3.06638875083333,3.1509225,3.30426,16,1.02598101422548
"gamma[2]",0.95,0.5,"mean",0.844732925,0.950308,1.00352058466667,1.05751,1.15754275,16,1.02598101422548
"gamma[3]",0.95,0.5,"mean",0.17237025,0.19364875,0.204694939916667,0.2159305,0.236344025,16,1.02598101422548
"gamma[4]",0.95,0.5,"mean",0.21971785,0.240796,0.2521743605,0.26342475,0.284854225,16,1.02598101422548
"gamma[5]",0.95,0.5,"mean",0.04354957,0.072912925,0.0875764699383333,0.1024765,0.131064425,16,1.02598101422548
"gamma[6]",0.95,0.5,"mean",0.2408809,0.26405075,0.275404563583333,0.287039,0.309407,16,1.02598101422548
"gamma[7]",0.95,0.5,"mean",-1.8269005,-1.73295,-1.68714523583333,-1.63984,-1.55257975,16,1.02598101422548
"gamma[8]",0.95,0.5,"mean",-1.447502,-1.3573325,-1.31211376666667,-1.26628,-1.18165925,16,1.02598101422548
